_,id,title,photo,date,creator,left,broadcast,verified,megagroup,restricted,signatures,min,scam,has_link,has_geo,slowmode_enabled,call_active,call_not_empty,fake,gigagroup,noforwards,join_to_send,join_request,forum,stories_hidden,stories_hidden_min,stories_unavailable,access_hash,username,restriction_reason,admin_rights,banned_rights,default_banned_rights,participants_count,usernames,stories_max_id,color,counter_x,from_messages_x,channel_request_x,channel_req_targeted_by_x,source_x,counter_y,from_messages_y,channel_request_y,channel_req_targeted_by_y,source_y,counter,from_messages,channel_request,channel_req_targeted_by,source
Channel,1136479756,Police frequency,"{'_': 'ChatPhoto', 'photo_id': 5397849253788891237, 'dc_id': 2, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xad\t\xb406\xf4\x01\xbe\xb4QE;\x93\xcb~\xa7'}",2017-10-11 14:21:56+00:00,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,-8293750922310461719,police_frequency,[],,,,79291,[],,,2.0,2.0,0.0,{'channels': ['self']},['CharlieKirk'],7.0,7.0,0.0,{'channels': ['self']},['Jack_Posobiec'],8.0,8.0,0.0,{'channels': ['self']},"['Jack_Posobiec', 'TrumpChannel']"
Channel,1479163323,Tommy Robinson News,"{'_': 'ChatPhoto', 'photo_id': 6003777634976252070, 'dc_id': 4, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08H\xb6L\xc72n\xdb\xc8\xe7\xb7\xa7\xd6\x8a(\xa8b\xb9'}",2019-02-27 18:30:44+00:00,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,-9153213854473462176,TommyRobinsonNews,[],,,,136003,[],,,1.0,1.0,0.0,{'channels': ['self']},['CharlieKirk'],24.0,24.0,0.0,{'channels': ['self']},['Jack_Posobiec'],26.0,26.0,0.0,{'channels': ['self']},"['Jack_Posobiec', 'RealRebelNews']"
Channel,1299528948,Tommy Robinson's Official Telegram Chat.,"{'_': 'ChatPhoto', 'photo_id': 5782707997439539070, 'dc_id': 4, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\x92X\x10j\x01\x81;\x99\xc3\x14\x07\x91\xefE\x14P\xf4\x03'}",2021-01-11 13:40:54+00:00,False,True,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,-4470656456165166003,tommy_robinson_chat,"[{'_': 'RestrictionReason', 'platform': 'ios', 'reason': 'appleterms', 'text': ""Unfortunately, this group couldn't be displayed on your device.""}, {'_': 'RestrictionReason', 'platform': 'android', 'reason': 'androidterms', 'text': ""Unfortunately, this group can't be displayed on Telegram apps downloaded from the Google Play Store.""}]",,,"{'_': 'ChatBannedRights', 'until_date': datetime.datetime(2038, 1, 19, 3, 14, 7, tzinfo=datetime.timezone.utc), 'view_messages': False, 'send_messages': False, 'send_media': False, 'send_stickers': False, 'send_gifs': True, 'send_games': True, 'send_inline': True, 'embed_links': False, 'send_polls': False, 'change_info': True, 'invite_users': True, 'pin_messages': True, 'manage_topics': False, 'send_photos': False, 'send_videos': False, 'send_roundvideos': False, 'send_audios': False, 'send_voices': False, 'send_docs': False, 'send_plain': False}",5540,[],,,1.0,0.0,1.0,{'channels': ['TommyRobinsonNews']},['CharlieKirk'],1.0,0.0,1.0,{'channels': ['TommyRobinsonNews']},['Jack_Posobiec'],1.0,0.0,1.0,{'channels': ['TommyRobinsonNews']},['Jack_Posobiec']
Channel,1408963933,Gateway Pundit,"{'_': 'ChatPhoto', 'photo_id': 4902633361282017625, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xbc\x16}\xe3s\xed\x00\xe4\xb6\xee\xbf\x85\x14QP\xe6\xc6\xa2\x7f'}",2021-01-13 16:05:37+00:00,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,-5919010948100154437,gatewaypunditofficial,[],,,,97418,[],,,3.0,3.0,0.0,{'channels': ['self']},['CharlieKirk'],8.0,8.0,0.0,{'channels': ['self']},['Jack_Posobiec'],8.0,8.0,0.0,{'channels': ['self']},['Jack_Posobiec']
Channel,1390659157,ULTRA Pepe Lives Matter 🐸,"{'_': 'ChatPhoto', 'photo_id': 4990061208753254155, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xd3\xcc\x9fk\xfe-\x9bq\x8cq\x9a(\xa2\x80?'}",2021-01-13 16:36:49+00:00,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,6028538471807409306,PepeMatter,[],,,,197743,[],,,2.0,2.0,0.0,{'channels': ['self']},['CharlieKirk'],10.0,10.0,0.0,{'channels': ['self']},['Jack_Posobiec'],10.0,10.0,0.0,{'channels': ['self']},['Jack_Posobiec']
Channel,1205299143,PatriotAU️️️,"{'_': 'ChatPhoto', 'photo_id': 4983237824274868872, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\x8c]1\x83i9;\xb2I=\xbd\xe8\xa2\x8a\xd9;\x19\xb3'}",2021-01-21 03:41:09+00:00,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,4580023887757957768,ThePatriotAU,[],,,,13564,[],,,2.0,2.0,0.0,{'channels': ['self']},['CharlieKirk'],7.0,7.0,0.0,{'channels': ['self']},['Jack_Posobiec'],7.0,7.0,0.0,{'channels': ['self']},['Jack_Posobiec']
Channel,1187440417,PatriotAU Chat,"{'_': 'ChatPhoto', 'photo_id': 4929667195408066809, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08A*7\x1bpG9\xa2\x8a+F\x80'}",2021-01-22 23:01:54+00:00,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,-7256963234702042436,PatriotAUchat,[],,,"{'_': 'ChatBannedRights', 'until_date': datetime.datetime(2038, 1, 19, 3, 14, 7, tzinfo=datetime.timezone.utc), 'view_messages': False, 'send_messages': False, 'send_media': False, 'send_stickers': False, 'send_gifs': False, 'send_games': False, 'send_inline': False, 'embed_links': False, 'send_polls': False, 'change_info': True, 'invite_users': False, 'pin_messages': True, 'manage_topics': False, 'send_photos': False, 'send_videos': False, 'send_roundvideos': False, 'send_audios': False, 'send_voices': False, 'send_docs': False, 'send_plain': False}",94,[],,,1.0,0.0,1.0,{'channels': ['ThePatriotAU']},['CharlieKirk'],1.0,0.0,1.0,{'channels': ['ThePatriotAU']},['Jack_Posobiec'],1.0,0.0,1.0,{'channels': ['ThePatriotAU']},['Jack_Posobiec']
Channel,1410273150,TheStormHasArrived17,"{'_': 'ChatPhoto', 'photo_id': 5105090032192039808, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xb5\xb6Q\xa8m\xcfS\xbb?\xec\xfaQE\x14\x01'}",2021-01-18 00:44:00+00:00,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,1624429644201633398,TheStormHasArrived17,[],,,,128265,[],,,1.0,1.0,0.0,{'channels': ['self']},['CharlieKirk'],5.0,5.0,0.0,{'channels': ['self']},['Jack_Posobiec'],6.0,6.0,0.0,{'channels': ['self']},"['Jack_Posobiec', 'RealRebelNews']"
Channel,1601053024,Chief Nerd,"{'_': 'ChatPhoto', 'photo_id': 5130134523365927693, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\x9dc\x9b\xed\x19\xc9\xda[\x9c\x9a(\xa2\xa5\xea;\xd8'}",2021-10-08 14:03:39+00:00,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,4068667445094511713,chiefnerd,[],,,,83031,[],,,1.0,1.0,0.0,{'channels': ['self']},['CharlieKirk'],5.0,5.0,0.0,{'channels': ['self']},['Jack_Posobiec'],5.0,5.0,0.0,{'channels': ['self']},['Jack_Posobiec']
Channel,1686210190,Chief Nerd Chat,"{'_': 'ChatPhoto', 'photo_id': 5127794337420258333, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\x9dc\x9b\xed\x19\xc9\xda[\x9c\x9a(\xa2\xa5\xea;\xd8'}",2021-10-26 18:21:59+00:00,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,7222041102860008713,chiefnerdchat,[],,,"{'_': 'ChatBannedRights', 'until_date': datetime.datetime(2038, 1, 19, 3, 14, 7, tzinfo=datetime.timezone.utc), 'view_messages': False, 'send_messages': False, 'send_media': False, 'send_stickers': False, 'send_gifs': False, 'send_games': False, 'send_inline': False, 'embed_links': True, 'send_polls': True, 'change_info': True, 'invite_users': True, 'pin_messages': True, 'manage_topics': False, 'send_photos': False, 'send_videos': False, 'send_roundvideos': False, 'send_audios': False, 'send_voices': False, 'send_docs': False, 'send_plain': False}",2181,[],,,1.0,0.0,1.0,{'channels': ['chiefnerd']},['CharlieKirk'],1.0,0.0,1.0,{'channels': ['chiefnerd']},['Jack_Posobiec'],1.0,0.0,1.0,{'channels': ['chiefnerd']},['Jack_Posobiec']
